寺沢武一が描いた漫画のうち、主人公が「神の目」と呼ばれる道具を使用するのはどれでしょう？,ゴクウ,コブラ,武,カブト,エンタメ
シルベスター・スタローン主演の映画「ロッキー」の冒頭で、主人公ロッキーが対戦している相手は誰でしょう？,スパイダー,アポロ,エイドリアン,ポーリー,エンタメ
映画「アベンジャーズ」のメンバーの中で、人間ではないのは次のうち誰でしょう？,ソー,アイアンマン,ハルク,キャプテン・アメリカ,エンタメ
007シリーズにおいて、ジェームズ・ボンドの上司でMI6の局長なのは次のうち誰でしょう？,M,Q,マニー・ペニー,ブロフェルド,エンタメ
007シリーズにおいて、ジェームズ・ボンドの同僚で、主に秘密兵器の開発を行い、ボンドをサポートするのは次のうち誰でしょう？,Q,M,マニー・ペニー,ブロフェルド,エンタメ
007シリーズにおいて、MI6の局長の秘書を務めるのは、次のうち誰でしょう？,マニー・ペニー,M,Q,ブロフェルド,エンタメ
007シリーズにおいて、ジェームズ・ボンドの宿敵で、悪の組織スペクターの首領なのは次のうち誰でしょう？,ブロフェルド,M,Q,マニー・ペニー,エンタメ
2019年現在、アカデミー主演男優賞を受賞したものの辞退した俳優は2人いますが、1972年に『ゴッドファーザー』でアカデミー主演男優賞を受賞し、これを辞退したのは誰でしょう？,マーロン・ブランド,ジョージ・C・スコット,ポール・ニューマン,ピーター・オトゥール,エンタメ
2019年現在、アカデミー主演男優賞を受賞したものの辞退した俳優は2人いますが、1970年に『パットン大戦車軍団』でアカデミー主演男優賞を受賞し、これを辞退したのは誰でしょう？,ジョージ・C・スコット,ポール・ニューマン,マーロン・ブランド,ピーター・オトゥール,エンタメ
世界最古の国際映画祭のひとつであり、1947年の創設以来、一度の中断もなく毎年連続で行われている映画祭としては世界で最も長い伝統を誇る映画祭はどれでしょう？,エディンバラ国際映画祭,ロカルノ国際映画祭,トロント国際映画祭,カルロヴィ・ヴァリ国際映画祭,エンタメ
次の映画祭のうち、最優秀作品賞が「金豹賞」と呼ばれるのはどれでしょう？,ロカルノ国際映画祭,カルロヴィ・ヴァリ国際映画祭,カンヌ国際映画祭,ベルリン国際映画祭,エンタメ
次の映画祭のうち、最優秀作品賞が「クリスタル・グローブ賞」と呼ばれるのはどれでしょう？,カルロヴィ・ヴァリ国際映画祭,ロカルノ国際映画祭,ヴェネチア国際映画祭,トロント国際映画祭,エンタメ
次の映画祭のうち、最優秀作品賞が「金熊賞」と呼ばれるのはどれでしょう？,ロカルノ国際映画祭,ベルリン国際映画祭,ヴェネチア国際映画祭,カンヌ国際映画祭,エンタメ
次の映画祭のうち、最優秀作品賞が「金獅子賞」と呼ばれるのはどれでしょう？,ヴェネチア国際映画祭,カンヌ国際映画祭,ベルリン国際映画祭,ロカルノ国際映画祭,エンタメ
次の映画祭のうち、最優秀作品賞が「パルムドール」と呼ばれるのはどれでしょう？,カンヌ国際映画祭,ヴェネチア国際映画祭,ベルリン国際映画祭,ロカルノ国際映画祭,エンタメ
次のうち、1972年から始まった、国際アニメーション映画協会が主催するアニメ作品とそのスタッフに与えられる賞は何でしょう？,アニー賞,トニー賞,エミー賞,オビー賞,エンタメ
アメリカ合衆国の演劇およびミュージカルに関する賞で、選考の対象となるには、毎年のエントリー期間中にニューヨーク・ブロードウェイの劇場で公演が開始される必要がある賞は何でしょう？,トニー賞,アニー賞,エミー賞,オビー賞,エンタメ
次のうち、アメリカのテレビドラマを始めとする番組のほか、テレビに関連する様々な業績に与えられる賞は何でしょう？,エミー賞,アニー賞,トニー賞,オビー賞,エンタメ
次のうち、アメリカのテレビ・ラジオ・ウェブサイトの優れた放送作品に贈られる賞で、放送界のピューリッツァー賞とも呼ばれ、1941年に始まり、メディア関連賞としては最古の賞は何でしょう？,ピーボディ賞,アニー賞,トニー賞,エミー賞,エンタメ
次のうち、ニューヨークで上演された優れた舞台に与えられる賞で、ブロードウェイ以外で上演された作品が対象になるのは何でしょう？,オビー賞,トニー賞,アニー賞,エミー賞,エンタメ
次のうち、1929年の第1回アカデミー賞で、初代アカデミー作品賞を受賞した作品はどれでしょう？,つばさ,ブロードウェイ・メロディー,西部戦線異状なし,シマロン,エンタメ
次のうち、1929年の第1回アカデミー賞で、初代主演男優賞を受賞した俳優は誰でしょう？,エミール・ヤニングス,ワーナー・バクスター,クラーク・ゲーブル,ジョージ・アーリス,エンタメ
次のうち、1929年の第1回アカデミー賞で、初代主演女優賞を受賞した俳優は誰でしょう？,ジャネット・ゲイナー,メアリー・ピックフォード,クローデット・コルベール,キャサリン・ヘプバーン,エンタメ
次のうち、1929年の第1回アカデミー賞のみに存在したコメディ映画監督賞を受賞した監督は誰でしょう？,ルイス・マイルストン,フランク・ボーゼイギ,フランク・ロイド,フランク・キャプラ,エンタメ
次のうち、1929年の第1回アカデミー賞のみに存在したドラマ映画監督賞を受賞した監督は誰でしょう？,フランク・ボーゼイギ,ルイス・マイルストン,フランク・ロイド,フランク・キャプラ,エンタメ
2019年現在、アカデミー賞最多の11部門を受賞した作品は3作品ありますが、当てはまらないのは次のうちどれでしょう？,ウェストサイド物語,ベン・ハー,タイタニック,ロード・オブ・ザ・リング／王の帰還,エンタメ
次のうち、1978年の第1回日本アカデミー賞で、初代日本アカデミー作品賞を受賞した作品はどれでしょう？,幸せの黄色いハンカチ,事件,復讐するは我にあり,ツィゴイネルワイゼン,エンタメ
