天台宗を学び、後に浄土宗の開祖となったのは誰でしょう？,法然,最澄,道元,親鸞,歴史
次のうち、悪人正機説を唱え、専修念仏を徹底した、浄土真宗の開祖は誰でしょう？,親鸞,法然,最澄,道元,歴史
次のうち、男女や身分、信仰の有無に関係なく、念仏を唱えれば等しく救われると説いた時宗の開祖は誰でしょう？,一遍,親鸞,法然,最澄,歴史
次のうち、「南無妙法蓮華経」と唱えると成仏できると説いた法華宗の開祖は誰でしょう？,日蓮,一遍,親鸞,法然,歴史
次のうち、鎌倉時代に南宋にに留学し、禅宗を日本に持ち帰った臨済宗の開祖は誰でしょう？,栄西,法然,空海(弘法大師),親鸞,歴史
次のうち、無限の修行こそが成仏であり、座禅の悟りを姿とした只管打坐を教義とする曹洞宗の開祖は誰でしょう？,道元,栄西,法然,一遍,歴史
次のうち、「法華経」を根本経典とし、すべての人に仏性があると説いている天台宗の開祖は誰でしょう？,最澄,道元,栄西,日蓮,歴史
次のうち、遣唐使に随行して長安で密教を学び、帰国後に真言宗の開祖となったのは誰でしょう？,空海(弘法大師),最澄,親鸞,栄西,歴史
次のうち、中国詩歌史上において「詩聖」と称されるのは誰でしょう？,杜甫,李白,王維,韓愈,歴史
次のうち、中国詩歌史上において「詩仙」と称されるのは誰でしょう？,李白,杜甫,白居易,韓愈,歴史
次の千利休を流祖とする茶道流派のうち、「三千家」に含まれないのはどれでしょう？,堺千家,表千家,裏千家,武者小路千家,歴史
次のうち、いわゆる「元寇」の1回目にあたるのはどれでしょう？,文永の役,弘安の役,文禄の役,慶長の役,歴史
次のうち、いわゆる「元寇」の2回目にあたるのはどれでしょう？,弘安の役,文永の役,文禄の役,慶長の役,歴史
次のうち、豊臣秀吉の朝鮮出兵の1回目にあたるのはどれでしょう？,文禄の役,慶長の役,文永の役,弘安の役,歴史
次のうち、豊臣秀吉の朝鮮出兵の2回目にあたるのはどれでしょう？,慶長の役,文禄の役,文永の役,弘安の役,歴史
次の女性天皇のうち、重祚したため皇極天皇と同一人物なのは誰でしょう？,斉明天皇,持統天皇,元明天皇,孝謙天皇,歴史
次の女性天皇のうち、重祚したため孝謙天皇と同一人物なのは誰でしょう？,称徳天皇,斉明天皇,後桜町天皇,明正天皇,歴史
2019年現在、最後の女性天皇は誰でしょう？,後桜町天皇,明正天皇,称徳天皇,皇極天皇,歴史
鎌倉幕府第8代執権で、元寇を退けた英雄とされるのは誰でしょう？,北条時宗,北条泰時,北条時政,北条義時,歴史
